message_body,content_offset_seconds,message_user_color,commenter_display_name,message_fragments
SAVED,15.066,,Mohamd99zh,"[{""text"": ""SAVED""}]"
SAVED Pog,15.068,,Bladine,"[{""text"": ""SAVED Pog""}]"
sssavedd,15.08,,medicalusee,"[{""text"": ""sssavedd""}]"
tyler1Hey,15.142,#F772B6,Battlepiggy_,"[{""text"": ""tyler1Hey"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""106169""}}]"
adaddd,15.177,#FF3FF0,azirm,"[{""text"": ""adaddd""}]"
no :),15.248,#00FF80,kepz0,"[{""text"": ""no ""}, {""text"": "":)"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""1""}}]"
no,15.28,#2E8B57,OWMordho,"[{""text"": ""no""}]"
Sup hector,15.289,,thiccbeefcake69,"[{""text"": ""Sup hector""}]"
PowerUpL OhMyDog PowerUpR PowerUpL OhMyDog PowerUpR PowerUpL OhMyDog PowerUpR PowerUpL OhMyDog PowerUpR PowerUpL OhMyDog PowerUpRPowerUpL OhMyDog PowerUpR,15.403,,pabloarteaga3,"[{""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" PowerUpRPowerUpL ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}]"
SHADOWDOGS UNLEASHED PowerUpL OhMyDog PowerUpR SHADOWDOGS UNLEASHED PowerUpL OhMyDog PowerUpR SHADOWDOGS UNLEASHED PowerUpL OhMyDog PowerUpR SHADOWDOGS UNLEASHED PowerUpL OhMyDog PowerUpR SHADOWDOGS UNLEASHED PowerUpL OhMyDog PowerUpR SHADOWDOGS UNLEASHED!,15.483,#9ACD32,bestpastryna,"[{""text"": ""SHADOWDOGS UNLEASHED ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" SHADOWDOGS UNLEASHED ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" SHADOWDOGS UNLEASHED ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" SHADOWDOGS UNLEASHED ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" SHADOWDOGS UNLEASHED ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" SHADOWDOGS UNLEASHED!""}]"
