message_body,content_offset_seconds,message_user_color,commenter_display_name,message_fragments
KEKW,23.655,#0000FF,Distant_Gravity,"[{""text"": ""KEKW""}]"
KEKW,23.668,#000000,watupmun,"[{""text"": ""KEKW""}]"
KEKW,23.722,#FF0000,saffattack,"[{""text"": ""KEKW""}]"
KEKW,23.748,#DAA520,Pharem,"[{""text"": ""KEKW""}]"
KEKW,24.102,#1E90FF,pois_,"[{""text"": ""KEKW""}]"
KEKW,24.105,#B22222,cherdle,"[{""text"": ""KEKW""}]"
PogChamp,24.122,,Nakaruhx,"[{""text"": ""PogChamp"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""88""}}]"
TIME TRAVELER PogU,24.164,#8DD2FF,Halfblackops,"[{""text"": ""TIME TRAVELER PogU""}]"
KEKW,24.314,#1E90FF,Duel1,"[{""text"": ""KEKW""}]"
KEKW,24.383,#0000CC,TheJayyy,"[{""text"": ""KEKW""}]"
LULW,24.442,#8A2BE2,michaelduffy,"[{""text"": ""LULW""}]"
lul,24.446,,jactorjg,"[{""text"": ""lul""}]"
KEKW Clap,24.539,#8A2BE2,StickyZ_,"[{""text"": ""KEKW Clap""}]"
KEKW,24.553,#00FF7F,biscuit00,"[{""text"": ""KEKW""}]"
KEKW,24.578,#DAA520,m0ment,"[{""text"": ""KEKW""}]"
KEKW,24.582,#FF0000,Herz3h,"[{""text"": ""KEKW""}]"
lol,24.637,,moeasnake,"[{""text"": ""lol""}]"
KEKW KEKW KEKW,24.732,#301EFF,KappaTron_420,"[{""text"": ""KEKW KEKW KEKW""}]"
LMFAOOOO,24.849,#B22222,SMALL_CALVES,"[{""text"": ""LMFAOOOO""}]"
KEKW,25.038,#1E90FF,Jophi,"[{""text"": ""KEKW""}]"
LUL,25.048,#0000FF,CyberiusRex,"[{""text"": ""LUL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425618""}}]"
LULW,25.095,#FF0000,lidl_beast,"[{""text"": ""LULW""}]"
KEKW,25.108,#1E90FF,ScareDeeee,"[{""text"": ""KEKW""}]"
KEKW,25.135,#00F6FF,capski,"[{""text"": ""KEKW""}]"
OMEGALUL,25.153,#DAA520,Mongaro,"[{""text"": ""OMEGALUL""}]"
KEKW,25.182,,Rhyphix,"[{""text"": ""KEKW""}]"
KEKW,25.196,,Newname_5,"[{""text"": ""KEKW""}]"
omegalul,25.199,#4C0093,SteelFlexed,"[{""text"": ""omegalul""}]"
LMAOOO,25.208,,Unexcused,"[{""text"": ""LMAOOO""}]"
KEKW,26.308,#FF0000,im_yasuo_main,"[{""text"": ""KEKW""}]"
KEKW,26.318,#FF0000,Jun1or1007,"[{""text"": ""KEKW""}]"
KEKW KEKW,26.351,#301EFF,KappaTron_420,"[{""text"": ""KEKW KEKW""}]"
HAHAHAHAHA,26.383,#DAA520,Poenesss,"[{""text"": ""HAHAHAHAHA""}]"
KEKW,26.402,#8A2BE2,Smuppen,"[{""text"": ""KEKW""}]"
Lmao,26.42,#FF0000,Aintquiet,"[{""text"": ""Lmao""}]"
HAHAHAHA,26.425,,Unexcused,"[{""text"": ""HAHAHAHA""}]"
KEKW,26.468,#00FF7F,FPSpsychoYT,"[{""text"": ""KEKW""}]"
KEKW,26.49,#FF0000,daddy_is_here,"[{""text"": ""KEKW""}]"
KEKW,26.493,#DFE3E8,comics101,"[{""text"": ""KEKW""}]"
KEKW,26.548000000000002,#666666,Joey__Lee,"[{""text"": ""KEKW""}]"
KEKW,26.584,#DA2042,drizzymeister,"[{""text"": ""KEKW""}]"
kekw,26.608,,dargox15_,"[{""text"": ""kekw""}]"
KEKW,26.882,#5F9EA0,MattiTheGuy,"[{""text"": ""KEKW""}]"
PauseChamp,26.992,#FFB61D,MrSumo,"[{""text"": ""PauseChamp""}]"
DITCHED KEKW,27.042,#008000,reptileGEDO,"[{""text"": ""DITCHED KEKW""}]"
KEKW,27.06,#FF69B4,zqroh,"[{""text"": ""KEKW""}]"
LULW,27.07,,priceisduhdino,"[{""text"": ""LULW""}]"
KEKW,27.179,#627893,Notagingerman1,"[{""text"": ""KEKW""}]"
KEKW,27.181,#008000,The_Virtuous_One,"[{""text"": ""KEKW""}]"
KEKW,27.363,#FF69B4,MafiaVULX,"[{""text"": ""KEKW""}]"
LUL,27.372,#FF0000,the_one_16,"[{""text"": ""LUL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425618""}}]"
KEKW,27.409,#B22222,lexil,"[{""text"": ""KEKW""}]"
KEKW,27.42,#FF0000,GGGodar,"[{""text"": ""KEKW""}]"
KEKW,27.605,#F772B6,Battlepiggy_,"[{""text"": ""KEKW""}]"
KEKW,27.608,#16BC47,tomorrowlandbk,"[{""text"": ""KEKW""}]"
HAHAHAHAHAHA,27.818,#FF69B4,ryodali1,"[{""text"": ""HAHAHAHAHAHA""}]"
KEKW,27.86,#1E90FF,PrevoTV,"[{""text"": ""KEKW""}]"
LOOOOOL,27.878,#B22222,SMALL_CALVES,"[{""text"": ""LOOOOOL""}]"
LULW Clap,27.882,#8A2BE2,michaelduffy,"[{""text"": ""LULW Clap""}]"
KEKW,28.014,#FF4500,Grumpypie,"[{""text"": ""KEKW""}]"
KEKW,28.015,#FF69B4,f_l_a_s_h_y_,"[{""text"": ""KEKW""}]"
PepeHands,28.031,#008000,s10hokage,"[{""text"": ""PepeHands""}]"
Mah n,28.041,,zain_________,"[{""text"": ""Mah n""}]"
LULW,28.13,#1FE0D7,Tiberious_Of_Elona_,"[{""text"": ""LULW""}]"
OMEGALUL,28.209,#0000FF,OnlyDimitri,"[{""text"": ""OMEGALUL""}]"
KEKW,29.308,#008000,Acidrain18769,"[{""text"": ""KEKW""}]"
XD,29.342,,itsKakashiX,"[{""text"": ""XD""}]"
KEKW,29.502,#44A70F,leafyhs,"[{""text"": ""KEKW""}]"
tyler1C tyler1C tyler1C,29.515,#FF69B4,artiapex,"[{""text"": ""tyler1C"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""126817""}}, {""text"": "" ""}, {""text"": ""tyler1C"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""126817""}}, {""text"": "" ""}, {""text"": ""tyler1C"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""126817""}}]"
KEKW,29.517,#FF0000,AquaticSnail,"[{""text"": ""KEKW""}]"
KEKW,29.552,#0000FF,jeffindahouse,"[{""text"": ""KEKW""}]"
OMEGALUL,29.645,,Argentide,"[{""text"": ""OMEGALUL""}]"
KEKW,29.65,#FF69B4,Lockkke,"[{""text"": ""KEKW""}]"
KEKW,29.683,#FF69B4,요루치카,"[{""text"": ""KEKW""}]"
WTF,29.705,#2200FF,nobevtitan,"[{""text"": ""WTF""}]"
yeaaaaahhh,29.716,,Egypt_EWGF,"[{""text"": ""yeaaaaahhh""}]"
mizkifYo mizkifYo mizkifYo mizkifYo,29.798000000000002,,kenlim1,"[{""text"": ""mizkifYo"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""301038062""}}, {""text"": "" ""}, {""text"": ""mizkifYo"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""301038062""}}, {""text"": "" ""}, {""text"": ""mizkifYo"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""301038062""}}, {""text"": "" ""}, {""text"": ""mizkifYo"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""301038062""}}]"
KEKW,29.802,#00E3FF,Braum3,"[{""text"": ""KEKW""}]"
KEKW,29.81,#1E90FF,tanjamado,"[{""text"": ""KEKW""}]"
KEKW,29.903,#0000FF,Camp3ReL,"[{""text"": ""KEKW""}]"
LMFAOOO,31.12,#0000FF,aquax784,"[{""text"": ""LMFAOOO""}]"
THEY DONT GIVE A FK,31.164,,Unexcused,"[{""text"": ""THEY DONT GIVE A FK""}]"
KEKW KEKW,31.165,#FF0000,im_yasuo_main,"[{""text"": ""KEKW KEKW""}]"
KEKW,31.214,#FF69B4,wankstonmain123,"[{""text"": ""KEKW""}]"
HAHAHAHAAHHA,31.225,#8A2BE2,michaelduffy,"[{""text"": ""HAHAHAHAAHHA""}]"
kinggcarti subscribed with Twitch Prime. They've subscribed for 3 months! pooooog,31.434,#FF0000,kinggcarti,"[{""text"": ""kinggcarti subscribed with Twitch Prime. They've subscribed for 3 months! pooooog""}]"
OMEGALUL,32.214,#00FF7F,FPSpsychoYT,"[{""text"": ""OMEGALUL""}]"
PowerUpL OhMyDog PowerUpR MOE OVERRATED PowerUpL OhMyDog PowerUpR TFBLADE OUTDATED PowerUpL OhMyDog PowerUpR LONG HAVE WE WAITED PowerUpL OhMyDog PowerUpR SHADOW DOGS ACTIVATEDPowerUpL OhMyDog PowerUpR PowerUpL OhMyDog PowerUpR MOE DECEASED PowerUpL OhMyDog PowerUpR TYLER1’S A BEAST PowerUpL OhMyDog PowerUpR TONIGHT WE FEAST PowerUpL OhMyDog PowerUpR SHADOWDOGS UNLEASHED,32.331,#0000FF,diermo,"[{""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" MOE OVERRATED ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" TFBLADE OUTDATED ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" LONG HAVE WE WAITED ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" SHADOW DOGS ACTIVATEDPowerUpL ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" MOE DECEASED ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" TYLER1\u2019S A BEAST ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" TONIGHT WE FEAST ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" SHADOWDOGS UNLEASHED""}]"
LUL,32.406,,Renekton_cured_my_cancer,"[{""text"": ""LUL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425618""}}]"
kekw,32.439,#5CCC00,Jdel,"[{""text"": ""kekw""}]"
KEKW,32.44,#1E90FF,breXmovies,"[{""text"": ""KEKW""}]"
PepeHands,32.444,,dajewish666,"[{""text"": ""PepeHands""}]"
KEKW NOT REAL FRIENDS JUST TEAMMATES KEKEW,32.448,#FFFFFF,TooManyHS,"[{""text"": ""KEKW NOT REAL FRIENDS JUST TEAMMATES KEKEW""}]"
PowerUpL OhMyGod PowerUpR SHADOWDOGS UNLEASHED PowerUpL OhMyGod PowerUpR SHADOWDOGS UNLEASHED PowerUpL OhMyGod PowerUpR SHADOWDOGS UNLEASHED PowerUpL OhMyGod PowerUpR SHADOWDOGS UNLEASHED PowerUpL OhMyGod PowerUpR SHADOWDOGS UNLEASHED PowerUpL OhMyGod PowerUpR SHADOWDOGS UNLEASHED PowerUpL OhMyGod PowerUpR SHADOWDOGS UNLEASHED PowerUpL OhMyGod PowerUpR SHADOWDOGS UNLEASHED,32.483,,realpicklemorty,"[{""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" OhMyGod ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" SHADOWDOGS UNLEASHED ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" OhMyGod ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" SHADOWDOGS UNLEASHED ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" OhMyGod ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" SHADOWDOGS UNLEASHED ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" OhMyGod ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" SHADOWDOGS UNLEASHED ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" OhMyGod ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" SHADOWDOGS UNLEASHED ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" OhMyGod ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" SHADOWDOGS UNLEASHED ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" OhMyGod ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" SHADOWDOGS UNLEASHED ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" OhMyGod ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" SHADOWDOGS UNLEASHED""}]"
LULW,32.555,#DAA520,Poenesss,"[{""text"": ""LULW""}]"
KEKW,32.557,#5F9EA0,iwassomekindofgoth,"[{""text"": ""KEKW""}]"
KEKW,32.677,#FF4500,Rubiks0,"[{""text"": ""KEKW""}]"
Nerds,32.744,#194CB3,SteeZe_tv,"[{""text"": ""Nerds""}]"
KEKW,32.768,,Enokian,"[{""text"": ""KEKW""}]"
KEKW KEKW,32.776,#008000,dyrudefirestorm,"[{""text"": ""KEKW KEKW""}]"
KEKW,32.812,,Naum31,"[{""text"": ""KEKW""}]"
THEY HATE U KEKW,33.138,#505DFF,Receptorz,"[{""text"": ""THEY HATE U KEKW""}]"
PowerUpL OhMyDog PowerUpR SHADOWDOGS UNLEASHED PowerUpL OhMyDog PowerUpR SHADOWDOGS UNLEASHED PowerUpL OhMyDog PowerUpR SHADOWDOGS UNLEASHED PowerUpL OhMyDog PowerUpR SHADOWDOGS UNLEASHED PowerUpL OhMyDog PowerUpR SHADOWDOGS UNLEASHED PowerUpL OhMyDog PowerUpR SHADOWDOGS UNLEASHED,33.157,,FkeBld,"[{""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" SHADOWDOGS UNLEASHED ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" SHADOWDOGS UNLEASHED ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" SHADOWDOGS UNLEASHED ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" SHADOWDOGS UNLEASHED ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" SHADOWDOGS UNLEASHED ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" SHADOWDOGS UNLEASHED""}]"
KEKW,33.164,#FF4500,RamaXDL,"[{""text"": ""KEKW""}]"
PowerUpL BibleThump PowerUpR,33.165,,OnlyRengar,"[{""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""BibleThump"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""86""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}]"
KEKW,33.167,#00FF7F,agitoad,"[{""text"": ""KEKW""}]"
KEKW,33.475,#D2691E,skyowner77,"[{""text"": ""KEKW""}]"
PepeHands,33.519,,shigs2btw,"[{""text"": ""PepeHands""}]"
peepoLeave LOL,33.56,#301EFF,KappaTron_420,"[{""text"": ""peepoLeave LOL""}]"
CALL THEM BACK KEKW,33.682,#8A2BE2,jlonic,"[{""text"": ""CALL THEM BACK KEKW""}]"
KEKW,33.684,#FF0000,katukas,"[{""text"": ""KEKW""}]"
KEKW /,33.7,#FF0000,im_yasuo_main,"[{""text"": ""KEKW /""}]"
KEKW,33.708,#FF0000,swiftcalibrez,"[{""text"": ""KEKW""}]"
LMFAOOOOO,33.734,#B22222,SMALL_CALVES,"[{""text"": ""LMFAOOOOO""}]"
KEKW,33.755,#FF4500,misterbudlo,"[{""text"": ""KEKW""}]"
THEY OUT,33.838,,Unexcused,"[{""text"": ""THEY OUT""}]"
KEKW KEKW,35.262,#D2691E,skyowner77,"[{""text"": ""KEKW KEKW""}]"
fucking unsocial,35.273,#8A2BE2,jakeqtlol,"[{""text"": ""fucking unsocial""}]"
widepeepoSad,35.28,#00FF7F,memeware42069,"[{""text"": ""widepeepoSad""}]"
PepeHands,35.319,,yourroyalslave,"[{""text"": ""PepeHands""}]"
KEKW,35.337,#FF0000,Jean012045,"[{""text"": ""KEKW""}]"
PepeHands,35.362,#8A2BE2,SGHallArt,"[{""text"": ""PepeHands""}]"
KEKW,35.368,#DAA520,Zetrixus,"[{""text"": ""KEKW""}]"
PepeHands,35.403,,xRios360,"[{""text"": ""PepeHands""}]"
KEKW,35.405,#FF0000,flamingg,"[{""text"": ""KEKW""}]"
OMEGALUL,35.427,#2297B2,RosarioVampi,"[{""text"": ""OMEGALUL""}]"
KEKW,35.428,#FF0000,156lean,"[{""text"": ""KEKW""}]"
KEKW,35.467,,cabra4,"[{""text"": ""KEKW""}]"
widepeepoSad,35.586,#F6FF00,CYBERBOOLI_xD,"[{""text"": ""widepeepoSad""}]"
OMEGALUL,35.916,#FF0000,JoylessFrog,"[{""text"": ""OMEGALUL""}]"
FeelsBadMan,35.971,#00FF7F,biscuit00,"[{""text"": ""FeelsBadMan""}]"
DITCHED LULW,36.512,#DAA520,Poenesss,"[{""text"": ""DITCHED LULW""}]"
HAHAHAHAH,36.535,#1B00FF,Zigorate,"[{""text"": ""HAHAHAHAH""}]"
KEKW KEKW KEKW KEKW KEKW,36.589,#FF69B4,yukipop,"[{""text"": ""KEKW KEKW KEKW KEKW KEKW""}]"
KEKW,36.629,,pxsuns,"[{""text"": ""KEKW""}]"
KEKW .,36.633,#FF0000,im_yasuo_main,"[{""text"": ""KEKW .""}]"
KEKW KEKW KEKW KEKW KEKW KEKW,36.637,#8A2BE2,Elite1430,"[{""text"": ""KEKW KEKW KEKW KEKW KEKW KEKW""}]"
KEKW,36.69,#8A2BE2,zerocity___,"[{""text"": ""KEKW""}]"
PepeHands,36.869,#FF0000,fivesixgiant,"[{""text"": ""PepeHands""}]"
LUL,36.87,,sbloodx,"[{""text"": ""LUL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425618""}}]"
GET THEM BACK!!,36.999,#CC6300,DPritz,"[{""text"": ""GET THEM BACK!!""}]"
LMAOOO KEKW,37.024,#FFB3B3,ROBOKO,"[{""text"": ""LMAOOO KEKW""}]"
KEKW,37.136,#1E90FF,NEPPO,"[{""text"": ""KEKW""}]"
tabletoppolecat subscribed with Twitch Prime. ,37.875,#176B00,tabletoppolecat,"[{""text"": ""tabletoppolecat subscribed with Twitch Prime. ""}]"
PepePls,38.35,#DAA520,reddlol,"[{""text"": ""PepePls""}]"
LMAOOOOOOOOOOOOO,38.47,#8A2BE2,michaelduffy,"[{""text"": ""LMAOOOOOOOOOOOOO""}]"
OMEGALUL,38.522,#1E90FF,muffin1stuffer,"[{""text"": ""OMEGALUL""}]"
KEKW,38.543,,endureeee,"[{""text"": ""KEKW""}]"
REJECTED KEKW,38.555,#FF69B4,MichelleFtww,"[{""text"": ""REJECTED KEKW""}]"
SHADOWDOG BREAK KEKW,38.702,,sean_j,"[{""text"": ""SHADOWDOG BREAK KEKW""}]"
KEKW,38.712,#FF0000,Rybak_xd,"[{""text"": ""KEKW""}]"
KEKW,38.822,,Rokayori,"[{""text"": ""KEKW""}]"
KEKW,38.834,#8A2BE2,tc247,"[{""text"": ""KEKW""}]"
Clap2 KEKW Clap2 KEKW,38.845,#008000,dyrudefirestorm,"[{""text"": ""Clap2 KEKW Clap2 KEKW""}]"
KEKW,39.099,#8A2BE2,starpixels,"[{""text"": ""KEKW""}]"
peepoLeave KEKW,39.274,#301EFF,KappaTron_420,"[{""text"": ""peepoLeave KEKW""}]"
PowerUpL OhMyGod PowerUpR SHADOWDOGS UNLEASHED PowerUpL OhMyGod PowerUpR SHADOWDOGS UNLEASHED PowerUpL OhMyGod PowerUpR SHADOWDOGS UNLEASHED PowerUpL OhMyGod PowerUpR SHADOWDOGS UNLEASHED,39.317,,realpicklemorty,"[{""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" OhMyGod ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" SHADOWDOGS UNLEASHED ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" OhMyGod ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" SHADOWDOGS UNLEASHED ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" OhMyGod ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" SHADOWDOGS UNLEASHED ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" OhMyGod ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" SHADOWDOGS UNLEASHED""}]"
PepeHands,39.361,#DAA520,Pharem,"[{""text"": ""PepeHands""}]"
PepeHands,39.38,,vaklovsky,"[{""text"": ""PepeHands""}]"
MaN,39.435,#0000CC,TheJayyy,"[{""text"": ""MaN""}]"
KELW,39.474,#FFB1BF,KarnevalKas,"[{""text"": ""KELW""}]"
LULW,39.51,#9ACD32,SpinForDemacia,"[{""text"": ""LULW""}]"
LUL,39.519,#E01111,jayma2,"[{""text"": ""LUL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425618""}}]"
KEKW,39.526,#5F9EA0,FARRAH_BEATS_SLIKER,"[{""text"": ""KEKW""}]"
KEKW,39.586,#00FF7F,Themessias1001,"[{""text"": ""KEKW""}]"
LUL L,39.593,#00FF7F,randy_edition,"[{""text"": ""LUL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425618""}}, {""text"": "" L""}]"
KEKW KEKW KEKW KEKW,39.686,#FF0000,im_yasuo_main,"[{""text"": ""KEKW KEKW KEKW KEKW""}]"
PepeHands,39.699,#2A74A2,uSakana,"[{""text"": ""PepeHands""}]"
